name,job_role,attendance,department,Post,Equity(in %),Experience(in years),nClients,test_scores(out of 100),skills,salary(in rs)
Prasad Dara,Project Manager,97,Project Management,Associate/Specialist,0.66,1.6,13,46,"Problem Solving and Decision Making} , {Risk Management} , {Budgeting and Financial Management} , {Communication and Negotiation Skills} , {Reporting and Documentation} , {Adaptability and Flexibility} , {Conflict Resolution} , {Change Management} , {Presentation and Public Speaking",81000
Balveer Goswami,Treasury Analyst,85,Finance and Accounting,Senior/Lead,0.73,5.3,5,36,"ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Ethical Conduct and Professionalism} , {Budgeting and Forecasting} , {Teamwork and Collaboration} , {Financial Modeling} , {Attention to Detail} , {Financial Analysis and Reporting} , {Financial Statement Preparation",105000
Naman Iyer,Project Coordinator,89,Project Management,Senior/Lead,0.35,5.8,21,46,"Quality Management} , {Project Monitoring and Control} , {Resource Allocation and Management} , {Project Planning and Scheduling} , {Adaptability and Flexibility} , {Budgeting and Financial Management} , {Stakeholder Management} , {Reporting and Documentation} , {Leadership and Team Management} , {Time Management and Prioritization} , {Problem Solving and Decision Making} , {Conflict Resolution} , {Change Management} , {Stakeholder Engagement",109000
Aanan Bedi,Project Coordinator,91,Project Management,Associate/Specialist,0.73,3.8,16,89,"Quality Management} , {Project Monitoring and Control} , {Risk Management} , {Contract and Procurement Management} , {Stakeholder Management} , {Communication and Negotiation Skills} , {Reporting and Documentation} , {Leadership and Team Management} , {Adaptability and Flexibility} , {Change Management} , {Stakeholder Engagement",95000
Devahuti Bakshi,Legal Assistant,88,Legal and Compliance,Mid-Level/Intermediate,0.78,5.1,7,63,"Mergers and Acquisitions} , {Legal Research and Analysis} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Regulatory Compliance} , {Attention to Detail} , {Teamwork and Collaboration} , {Contract Drafting and Review} , {Risk Assessment and Management} , {Intellectual Property Rights} , {Continuous Learning and Staying Updated with Legal Developments} , {Problem Solving and Decision Making} , {Corporate Governance",80000
Tamia Burman,Systems Analyst,84,Information Technology (IT),Entry Level/Junior,0.09,0.8,0,40,"Communication and Collaboration} , {IT Service Management} , {Programming and Software Development} , {Cloud Computing",68000
Ravanan Chowdhury,Web Developer,86,Information Technology (IT),Mid-Level/Intermediate,0.33,3.0,15,47,"IT Service Management} , {Time Management and Organization} , {Programming and Software Development} , {System Administration} , {Database Management} , {Network and Infrastructure Management} , {Leadership and Team Management} , {Cloud Computing} , {Continuous Learning and Professional Development} , {IT Governance and Compliance} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection",93000
Neena Khanna,Warehouse Manager,85,Operations,Mid-Level/Intermediate,0.73,4.9,14,49,"Supply Chain Management} , {Process Optimization and Efficiency} , {Quality Control and Assurance} , {Analytical Thinking} , {Risk Management} , {Continuous Improvement Mindset} , {Negotiation and Conflict Resolution} , {Time Management and Prioritization} , {Cost Analysis and Budgeting",172000
Navi Gandhi,HR Generalist,91,Human Resources (HR),Senior/Lead,0.58,7.9,12,74,"Conflict Resolution and Mediation} , {Time Management and Organization} , {Training and Development} , {Recruitment and Selection} , {Confidentiality and Trustworthiness} , {Communication and Interpersonal Skills} , {HR Compliance and Legal Knowledge} , {Leadership and Team Management} , {Problem Solving and Decision Making} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",120000
Amartya Dhar,Treasury Analyst,62,Finance and Accounting,Senior/Lead,0.98,8.0,4,47,"Communication and Presentation Skills} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Cash Flow Management} , {Teamwork and Collaboration} , {Financial Analysis and Reporting} , {Financial Statement Preparation",118000
Jalaneeli Parekh,Project Coordinator,79,Project Management,Entry Level/Junior,0.5,0.1,10,50,"Project Monitoring and Control} , {Resource Allocation and Management} , {Contract and Procurement Management} , {Stakeholder Management} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Change Management",70000
Abhaya Kumar Singh,HR Manager,76,Human Resources (HR),Associate/Specialist,0.54,3.2,3,36,"Time Management and Organization} , {Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Confidentiality and Trustworthiness} , {Empathy and Emotional Intelligence} , {HR Analytics and Reporting} , {Employee Onboarding and Offboarding} , {HRIS (Human Resources Information System) Management",223000
Agilan Balakrishnan,Call Center Supervisor,92,Customer Support,Associate/Specialist,0.12,1.6,2,68,"Continuous Learning and Skill Enhancement} , {Product Knowledge} , {Empathy and Customer Focus} , {Time Management and Organization} , {Quality Assurance and Call Monitoring} , {Conflict Resolution and Diplomacy} , {Knowledge Base and Self-Service Platforms} , {Communication and Active Listening} , {Communication Tools (e.g., Live Chat, Email)",56000
Kum Iyer Menon,Sales Representative,91,Sales and Marketing,Entry Level/Junior,0.54,0.0,0,76,"Product/Service Positioning and Branding} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Strategic Thinking and Planning} , {Market Research and Analysis} , {Adaptability and Flexibility",71000
Chander Khan Sheikh,Scrum Master,75,Project Management,Entry Level/Junior,0.95,0.1,3,82,"Project Monitoring and Control} , {Project Planning and Scheduling} , {Strategic Thinking and Planning} , {Conflict Resolution} , {Change Management",74000
Lakshman Mallick,Product Development Manager,79,Research and Development (R&D),Associate/Specialist,0.2,1.2,4,44,"Programming and Software Development} , {Collaboration and Teamwork} , {Experimental Design and Prototyping} , {Technical Writing and Documentation} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Time Management and Prioritization} , {Adaptability and Flexibility} , {Statistical Analysis and Modeling} , {Analytical Skills} , {Intellectual Property Management",82000
Hasina Kapadia,Systems Analyst,83,Information Technology (IT),Senior/Lead,0.46,5.8,30,53,"IT Risk Assessment and Mitigation} , {Programming and Software Development} , {System Administration} , {Customer Service and Relationship Management} , {Database Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Communication and Collaboration} , {Analytical and Data Interpretation Skills",110000
Anila Chawla,Logistics Coordinator,95,Operations,Mid-Level/Intermediate,0.34,4.6,7,86,"Process Optimization and Efficiency} , {Supply Chain Management} , {Data Analysis and Reporting} , {Analytical Thinking} , {Continuous Improvement Mindset} , {Leadership and Team Management} , {Inventory Management} , {Lean Six Sigma} , {Negotiation and Conflict Resolution",97000
Anand Iyer,Innovation Manager,92,Research and Development (R&D),Mid-Level/Intermediate,0.94,3.1,8,55,"Strategic Thinking} , {Collaboration and Teamwork} , {Experimental Design and Prototyping} , {Technical Writing and Documentation} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Time Management and Prioritization} , {Research Methodology and Design} , {Statistical Analysis and Modeling} , {Networking and Relationship Building} , {Intellectual Property Management",97000
Chandrakant Patel,Tax Specialist,76,Finance and Accounting,Entry Level/Junior,0.77,0.2,1,40,"ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Tax Planning and Compliance} , {Auditing and Internal Controls} , {Ethical Conduct and Professionalism",67000
Devanesan Khurana,HR Generalist,84,Human Resources (HR),Senior/Lead,0.74,8.4,9,98,"Conflict Resolution and Mediation} , {Problem Solving and Decision Making} , {Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Confidentiality and Trustworthiness} , {Leadership and Team Management} , {Empathy and Emotional Intelligence} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration",126000
Aanan Dalal,Warehouse Manager,91,Operations,Entry Level/Junior,0.54,0.3,6,97,"Supply Chain Management} , {Logistics and Transportation} , {Risk Management} , {Inventory Management} , {Lean Six Sigma} , {Adaptability and Flexibility} , {Production Planning and Control",153000
Bhakati Saxena,Sales Representative,93,Sales and Marketing,Senior/Lead,0.76,5.2,28,41,"Sales Forecasting and Planning} , {Social Media Marketing} , {Problem Solving and Decision Making} , {Negotiation and Persuasion} , {Sales Funnel Management} , {Time Management and Prioritization} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Communication and Interpersonal Skills",103000
Aamin Bakshi,Recruitment Specialist,77,Human Resources (HR),Associate/Specialist,0.31,3.5,4,64,"Conflict Resolution and Mediation} , {Problem Solving and Decision Making} , {Training and Development} , {Recruitment and Selection} , {HR Compliance and Legal Knowledge} , {Leadership and Team Management} , {HR Analytics and Reporting} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",85000
Ajanabh Laghari,Customer Service Representative,76,Customer Support,Entry Level/Junior,0.87,0.1,1,71,"Customer Data Management} , {Technical Documentation and FAQ Creation} , {Product Knowledge} , {Multi-Channel Support (Phone, Chat, Email)",44000
Kanisha Chawla,Training and Development Manager,83,Human Resources (HR),Mid-Level/Intermediate,0.94,5.9,7,54,"Time Management and Organization} , {Training and Development} , {Employee Relations and Conflict Resolution} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {HR Compliance and Legal Knowledge} , {Leadership and Team Management} , {HR Analytics and Reporting} , {Performance Management} , {Empathy and Emotional Intelligence} , {Problem Solving and Decision Making} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration",101000
Atharv Mani,Supply Chain Manager,87,Operations,Associate/Specialist,0.93,1.4,10,35,"Process Optimization and Efficiency} , {Supply Chain Management} , {Data Analysis and Reporting} , {Customer Focus} , {Risk Management} , {Negotiation and Conflict Resolution} , {Production Planning and Control} , {Time Management and Prioritization} , {Lean Six Sigma} , {Adaptability and Flexibility} , {Cost Analysis and Budgeting",222000
Ahalya Chauhan,Call Center Supervisor,76,Customer Support,Senior/Lead,0.56,7.3,6,69,"Ticketing Systems and CRM Software} , {Product Knowledge} , {Time Management and Organization} , {Empathy and Customer Focus} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Teamwork and Collaboration} , {Conflict Resolution and Diplomacy} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility",94000
Ishara Balakrishnan,Regulatory Affairs Specialist,95,Legal and Compliance,Senior/Lead,0.28,9.0,13,41,"Mergers and Acquisitions} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Adaptability and Flexibility} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Intellectual Property Rights} , {Communication and Negotiation Skills} , {Continuous Learning and Staying Updated with Legal Developments} , {Problem Solving and Decision Making} , {Data Privacy and Protection} , {Corporate Governance",98000
